PL	Customer Code	Order Number	Order Entry Date	Customer Wish Date	Confirmed Delivery Date	Requested Order Lead Time (in d)	Confirmed Order Lead Time (in d)	Agreed Liability (in w)	Order quantity	Product Information (Basic_Type)	Sales product
67	C22	1113818610	11.2017	12.2018	12.2018	355	355	12	2500	BT9	SP33
67	C22	1113818610	11.2017	12.2018	12.2018	355	355	12	5000	BT9	SP33
67	C22	1113818610	11.2017	12.2018	12.2018	355	355	12	7500	BT9	SP33
67	C8	1113957504	12.2017	1.2019	1.2019	355	356	98	10000	BT46	SP487
67	C8	1114039261	1.2018	1.2019	1.2019	355	355	26	950	BT46	SP50
67	C51	1114201864	2.2018	2.2019	2.2019	354	354	6	10000	BT82	SP406
67	C70	1114859240	6.2018	7.2019	7.2019	354	354	39	15000	BT38	SP488
67	C51	1114896793	6.2018	7.2019	7.2019	354	354	39	22500	BT9	SP28
67	C101	1114956035	7.2018	7.2019	7.2019	354	354	15	3800	BT96	SP309
67	C107	1114970191	7.2018	7.2019	7.2019	354	354	99	2000	BT52	SP206
67	C107	1114970192	7.2018	7.2019	7.2019	354	354	99	2000	BT52	SP206
67	C8	1114983578	7.2018	7.2019	7.2019	354	354	99	72500	BT30	SP213
67	C165	1115351910	10.2018	11.2019	11.2019	354	354	15	22000	BT42	SP485
67	C165	1115351910	10.2018	11.2019	11.2019	354	354	15	25000	BT41	SP212
67	C165	1115352024	10.2018	11.2019	11.2019	354	354	15	3000	BT42	SP485
67	C165	1115352092	10.2018	11.2019	11.2019	354	354	15	5000	BT42	SP485
67	C165	1115352092	10.2018	11.2019	11.2019	354	354	15	3000	BT41	SP212
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	354	354	52	5000	BT91	SP423
67	C70	1115513891	1.2019	2.2020	2.2020	354	354	15	2500	BT92	SP98
67	C166	1112957689	6.2017	6.2018	6.2018	354	356	26	10000	BT93	SP404
