userid,time,lat,lon,locationid
100,2010-09-21T12:16:07Z,51.512732104,-0.124190801,4149694
167,2010-05-13T13:31:29Z,51.5127811358,-0.128865748,846366
167,2009-12-08T14:22:19Z,51.5139005944,-0.1343411207,152500
175,2010-09-17T13:20:53Z,51.5127679667,-0.1366507,350644
175,2010-07-12T16:29:37Z,51.5135166756,-0.1326084137,302116
175,2010-07-12T16:27:56Z,51.5135166756,-0.1326084137,302116
175,2010-07-12T13:16:08Z,51.5128633167,-0.1407658833,84293
175,2010-07-10T14:17:16Z,51.5144113683,-0.1419210434,23090
175,2010-07-09T20:53:15Z,51.5136815,-0.1353304333,87293
175,2010-07-09T10:11:40Z,51.5162541127,-0.1308703423,51161
175,2010-02-03T23:46:00Z,51.512809126,-0.1391720848,501986
175,2010-02-03T20:02:40Z,51.5128633167,-0.1407658833,84293
241,2010-09-21T16:28:56Z,51.512732104,-0.124190801,4149694
241,2010-09-21T11:56:44Z,51.5130615234,-0.123878479,959580
241,2010-09-21T11:55:42Z,51.51303416,-0.12418377,944644
241,2010-09-21T11:55:20Z,51.5126161043,-0.1242122661,816409
241,2010-09-21T11:55:07Z,51.5128388833,-0.1238751167,655278
241,2010-09-21T11:54:50Z,51.512732104,-0.124190801,4149694
241,2010-09-21T11:45:06Z,51.5130225841,-0.1241970062,45170
241,2010-09-21T09:36:07Z,51.51542901,-0.137772674,4099640
241,2010-09-21T09:34:21Z,51.5153394265,-0.1418566704,53769
241,2010-09-21T09:33:53Z,51.51535367,-0.14235574,901769
241,2010-09-21T09:33:41Z,51.5151725109,-0.1417815685,23711
247,2010-06-21T12:33:24Z,51.5130225841,-0.1241970062,45170
247,2010-06-21T12:27:41Z,51.5138638719,-0.1260209084,155896
247,2010-06-21T12:01:53Z,51.5140898667,-0.1255882333,325346
332,2010-07-15T11:31:07Z,51.5144113683,-0.1419210434,23090
332,2010-07-15T08:34:54Z,51.5153394265,-0.1418566704,53769
332,2010-07-14T23:49:51Z,51.5155590656,-0.1423841028,68148
332,2010-07-14T23:39:02Z,51.5126353194,-0.1391422749,28302
332,2010-07-14T16:59:45Z,51.51311255,-0.12480645,130996
332,2010-07-14T16:59:28Z,51.51307338,-0.12419444,746094
332,2010-07-14T16:58:21Z,51.5130225841,-0.1241970062,45170
332,2010-07-14T14:48:17Z,51.51353,-0.1385951,89471
332,2010-07-14T08:30:51Z,51.5144113683,-0.1419210434,23090
332,2010-07-13T14:10:42Z,51.51444936,-0.141907124,1396778
332,2010-07-13T14:10:04Z,51.5141883787,-0.1420269372,364033
332,2010-07-13T14:09:44Z,51.5144113683,-0.1419210434,23090
343,2009-10-09T11:35:13Z,51.5144113683,-0.1419210434,23090
343,2009-10-07T16:11:45Z,51.5144113683,-0.1419210434,23090
343,2009-10-07T16:11:36Z,51.5144499,-0.1407507333,22474
343,2009-10-07T15:35:35Z,51.5144113683,-0.1419210434,23090
376,2010-09-08T20:39:58Z,51.5134817632,-0.1306202347,801475
376,2010-09-06T20:43:31Z,51.51269423,-0.12358212,3196815
376,2010-09-06T19:48:00Z,51.51269423,-0.12358212,3248714
376,2010-09-05T21:43:33Z,51.51269423,-0.12358212,3196815
376,2010-09-04T21:27:54Z,51.51339039,-0.13399106,1326028
376,2010-09-04T19:49:14Z,51.51393961,-0.13462758,3082423
503,2009-10-01T00:11:46Z,51.5144113683,-0.1419210434,23090
552,2010-09-28T18:41:50Z,51.51493811,-0.14147329,1353831
552,2010-09-17T19:44:58Z,51.51359255,-0.13512,84538
552,2010-09-17T18:04:22Z,51.5135738544,-0.1349240362,109081
552,2010-09-06T17:59:52Z,51.5162541127,-0.1308703423,51161
552,2010-09-06T17:08:38Z,51.5153394265,-0.1418566704,53769
552,2010-09-06T17:05:46Z,51.5130895482,-0.1405293323,1182781
552,2010-09-06T17:01:37Z,51.516055667,-0.135566383,1336933
726,2010-09-21T16:45:58Z,51.512732104,-0.124190801,4149694
726,2010-07-08T21:29:41Z,51.5151725109,-0.1417815685,23711
726,2010-07-08T21:28:33Z,51.5138203833,-0.1269481833,45177
756,2010-09-24T09:21:57Z,51.5127588439,-0.1406443119,76766
756,2010-09-24T09:21:15Z,51.5127667833,-0.1407959,23089
756,2010-09-24T09:20:11Z,51.513111,-0.1406868667,884002
756,2010-09-24T09:20:11Z,51.513111,-0.1406868667,884002
756,2010-09-24T09:16:27Z,51.514247942,-0.140682888,4167610
756,2010-09-24T09:15:34Z,51.5144499,-0.1407507333,22474
756,2010-09-24T09:15:04Z,51.5148080833,-0.1407513833,910631
756,2010-09-24T09:14:37Z,51.5147100659,-0.1408764731,1215848
756,2010-09-24T09:12:53Z,51.5144031433,-0.1416359086,1090295
756,2010-09-24T09:12:00Z,51.514596358,-0.141548092,1551936
756,2010-09-24T09:10:18Z,51.5141576513,-0.1414811611,400923
756,2010-09-24T09:08:40Z,51.5144180451,-0.1419746876,979106
756,2010-09-24T09:02:27Z,51.5144113683,-0.1419210434,23090
756,2010-09-24T09:00:21Z,51.5147986179,-0.1421892643,708524
756,2010-09-24T08:59:16Z,51.5145115194,-0.141620636,979135
756,2010-09-24T08:58:04Z,51.514838678,-0.1417386532,350516
756,2010-09-24T08:55:38Z,51.5149588581,-0.1422643661,213330
756,2010-09-24T08:54:01Z,51.5154262223,-0.1413631439,36486
756,2010-09-24T08:51:21Z,51.5152726603,-0.1419961452,17810
756,2010-09-24T08:50:21Z,51.5153394265,-0.1418566704,53769
756,2010-09-24T08:47:53Z,51.5151725109,-0.1417815685,23711
756,2010-09-16T11:41:46Z,51.512840677,-0.123714913,3675837
756,2010-09-16T11:40:07Z,51.5126876831,-0.1238098145,363298
756,2010-09-16T11:36:37Z,51.5132051461,-0.1240029544,493677
756,2010-09-16T11:35:50Z,51.5130596,-0.1238739,709377
756,2010-09-16T11:34:16Z,51.5131389383,-0.1241958997,82511
756,2010-09-16T11:32:28Z,51.5130225841,-0.1241970062,45170
776,2010-10-11T17:56:17Z,51.5147452348,-0.1353225808,32465
776,2010-10-11T17:45:42Z,51.5150685833,-0.1358141,36509
776,2010-10-11T17:41:07Z,51.5155590656,-0.1423841028,68148
776,2010-10-11T17:35:33Z,51.5126353194,-0.1391422749,28302
776,2010-09-04T15:30:05Z,51.5130615234,-0.123878479,959580
776,2010-09-04T15:29:54Z,51.5128388833,-0.1238751167,655278
801,2010-09-13T15:49:27Z,51.51538014,-0.14118456,3657577
801,2010-09-08T19:17:43Z,51.5128219,-0.1390671667,179257
801,2010-08-17T19:35:03Z,51.5163072167,-0.1325426333,23088
801,2010-08-13T19:36:17Z,51.51318842,-0.13082379,1705418
801,2010-08-13T17:41:59Z,51.5133261902,-0.131135376,396063
801,2010-06-04T20:39:24Z,51.5128219,-0.1390671667,179257
827,2010-09-18T19:36:41Z,51.5137606859,-0.1268899441,1169277
887,2010-08-27T20:49:49Z,51.51339615,-0.1294117,22061
887,2010-08-27T20:42:02Z,51.5155590656,-0.1423841028,68148
887,2010-08-27T20:38:28Z,51.5126353194,-0.1391422749,28302
887,2010-08-24T20:29:04Z,51.51307338,-0.12419444,746094
887,2010-08-23T22:00:43Z,51.5147128333,-0.1274194833,308788
939,2010-06-29T14:04:34Z,51.5162541127,-0.1308703423,51161
939,2010-06-27T17:28:06Z,51.5152726603,-0.1419961452,17810
939,2010-06-27T17:27:57Z,51.5151725109,-0.1417815685,23711
939,2010-06-27T16:50:35Z,51.5155590656,-0.1423841028,68148
939,2010-06-27T16:32:15Z,51.5144113683,-0.1419210434,23090
939,2010-06-27T16:01:58Z,51.5133852833,-0.14093095,789620
939,2010-06-27T15:53:05Z,51.5127588439,-0.1406443119,76766
939,2010-06-27T15:34:48Z,51.5127667833,-0.1407959,23089
951,2010-10-12T13:29:06Z,51.5140485833,-0.1247832833,325326
951,2010-10-08T11:33:11Z,51.5153394265,-0.1418566704,53769
951,2010-10-01T18:02:00Z,51.5137407167,-0.1342837034,95206
951,2010-09-26T10:37:27Z,51.5153394265,-0.1418566704,53769
951,2010-09-17T19:31:27Z,51.5136257833,-0.12849965,1005380
951,2010-09-14T11:50:20Z,51.5153394265,-0.1418566704,53769
951,2010-09-08T19:26:21Z,51.512809126,-0.1391720848,501986
951,2010-09-08T16:39:51Z,51.5144113683,-0.1419210434,23090
951,2010-09-07T07:46:57Z,51.5151725109,-0.1417815685,23711
951,2010-08-31T16:35:38Z,51.51610313,-0.135951573,1373640
984,2010-10-19T12:31:14Z,51.5147452348,-0.1353225808,32465
984,2010-10-19T12:30:50Z,51.5150685833,-0.1358141,36509
984,2010-10-19T12:29:40Z,51.5153794861,-0.1374363899,1353670
984,2010-10-19T12:26:27Z,51.5136747463,-0.1256508091,28201
984,2010-10-19T12:25:13Z,51.5141883787,-0.1420269372,364033
984,2010-10-19T12:25:03Z,51.51444936,-0.141907124,1396778
984,2010-10-19T12:16:13Z,51.5144113683,-0.1419210434,23090
984,2010-10-19T11:19:12Z,51.512509964,-0.133599703,2946922
984,2010-10-19T11:18:48Z,51.513308603,-0.1338920882,544845
984,2010-10-19T11:17:09Z,51.512551,-0.1336106667,245452
984,2010-10-19T10:59:56Z,51.5134376,-0.12914945,1174701
984,2010-10-19T10:59:45Z,51.51335644,-0.12927931,828938
984,2010-07-29T19:47:28Z,51.5155590656,-0.1423841028,68148
984,2010-07-20T17:23:41Z,51.5139106097,-0.140182972,22480
984,2010-07-20T17:08:21Z,51.5144113683,-0.1419210434,23090
984,2010-07-20T17:08:07Z,51.5132656028,-0.1401418813,1052968
984,2010-07-20T17:05:52Z,51.5139339785,-0.1413309574,979167
984,2010-07-20T17:05:34Z,51.5144113683,-0.1419210434,23090
984,2010-07-20T17:03:31Z,51.5126434333,-0.1388450667,1106249
984,2010-07-20T16:59:40Z,51.512661111,-0.138688514,1472595
984,2010-07-20T16:26:06Z,51.5139106097,-0.140182972,22480
984,2010-07-20T16:25:43Z,51.5132430053,-0.1384215221,1169046
984,2010-07-20T16:24:45Z,51.5138305167,-0.1396182333,377216
984,2010-07-20T16:24:21Z,51.51353,-0.1385951,89471
984,2010-07-20T16:24:14Z,51.5139106097,-0.140182972,22480
984,2010-07-20T16:24:03Z,51.5139106097,-0.140182972,22480
984,2010-07-20T16:23:28Z,51.5149254748,-0.1391422749,401241
984,2010-07-20T16:21:41Z,51.5156860266,-0.1387252127,66309
984,2010-07-20T16:19:03Z,51.516055667,-0.135566383,1336933
984,2010-07-20T16:11:13Z,51.5160894269,-0.1251441254,460415
984,2010-07-20T16:10:54Z,51.5159069347,-0.1255702972,598027
984,2010-07-01T09:37:07Z,51.5130225841,-0.1241970062,45170
1009,2010-08-06T12:34:19Z,51.51353,-0.1385951,89471
1009,2010-08-06T12:33:40Z,51.5131227382,-0.1388096809,190528
1009,2010-08-06T11:59:51Z,51.5144113683,-0.1419210434,23090
1009,2010-08-06T11:47:15Z,51.5151725109,-0.1417815685,23711
1082,2010-10-16T15:42:51Z,51.5140898667,-0.1255882333,325346
1082,2010-10-10T19:15:02Z,51.512838857,-0.1309052452,1019692
1082,2010-09-12T14:46:45Z,51.5153294687,-0.1429172776,95311
1082,2010-09-12T13:33:22Z,51.5144113683,-0.1419210434,23090
1130,2010-09-09T13:01:50Z,51.5127667833,-0.1407959,23089
1130,2010-09-09T12:43:46Z,51.5127662,-0.1382846,1118919
1130,2010-09-09T12:25:32Z,51.5144113683,-0.1419210434,23090
1135,2010-08-18T17:23:51Z,51.5144113683,-0.1419210434,23090
1135,2010-08-17T20:31:38Z,51.5151725109,-0.1417815685,23711
1135,2010-08-17T10:50:05Z,51.5144113683,-0.1419210434,23090
1158,2010-07-05T17:40:22Z,51.5144113683,-0.1419210434,23090
1158,2010-07-05T17:31:42Z,51.5145493903,-0.1423294745,156228
1158,2010-07-05T17:31:16Z,51.5139339785,-0.1413309574,979167
1158,2010-07-05T17:31:03Z,51.5143048016,-0.1415703045,1114311
1158,2010-07-04T17:19:37Z,51.5144113683,-0.1419210434,23090
1174,2010-09-22T18:54:53Z,51.5144113683,-0.1419210434,23090
1174,2010-09-22T18:53:08Z,51.5151725109,-0.1417815685,23711
1174,2010-09-22T18:50:39Z,51.51444936,-0.141907124,1396778
1189,2010-08-04T13:43:08Z,51.5130225841,-0.1241970062,45170
1213,2010-10-09T11:44:54Z,51.5145216,-0.1299007167,1045879
1213,2010-10-09T11:13:41Z,51.5153394265,-0.1418566704,53769
1233,2010-06-01T11:40:11Z,51.5137558333,-0.1274465,325398
1233,2010-06-01T11:39:46Z,51.5143432617,-0.1277389526,82622
1233,2010-06-01T11:39:25Z,51.5138203833,-0.1269481833,45177
1233,2010-05-31T17:37:37Z,51.5137558333,-0.1274465,325398
1233,2010-05-31T17:15:56Z,51.5152411833,-0.12708065,22339
1233,2010-05-31T13:37:43Z,51.51567835,-0.1407494833,115023
1233,2010-05-30T11:25:12Z,51.51567835,-0.1407494833,115023
1233,2010-05-30T11:24:26Z,51.5154262223,-0.1413631439,36486
1233,2010-05-30T11:24:03Z,51.5151725109,-0.1417815685,23711
1312,2010-09-14T11:51:18Z,51.5147452044,-0.1247549057,572066
1312,2010-08-21T15:58:16Z,51.5128971833,-0.1338351,159252
1312,2010-07-24T09:58:44Z,51.5144180451,-0.1267933846,34253
1312,2010-07-17T14:25:34Z,51.51409339,-0.13346439,959692
1312,2010-07-17T12:07:34Z,51.5153394265,-0.1418566704,53769
1312,2010-07-10T19:37:47Z,51.5155590656,-0.1423841028,68148
1312,2010-07-10T17:35:06Z,51.5126353194,-0.1391422749,28302
1312,2010-07-10T16:57:45Z,51.5145216,-0.1299007167,1045879
1312,2010-06-13T12:42:01Z,51.5135099988,-0.139850378,511165
1312,2010-06-06T16:43:48Z,51.5126451106,-0.1301594202,785168
1312,2010-06-06T14:36:43Z,51.5137015369,-0.1301132897,397806
1312,2010-05-10T15:58:28Z,51.515773404,-0.1365888119,22469
1312,2010-05-01T17:40:34Z,51.5135206405,-0.1287482692,60163
1312,2010-05-01T14:09:58Z,51.5134831333,-0.1385388167,30381
1312,2010-05-01T13:58:02Z,51.5129495167,-0.1384819167,36464
1312,2010-05-01T13:53:48Z,51.5132225333,-0.1388926,30376
1312,2010-04-24T10:54:20Z,51.5153394265,-0.1418566704,53769
1312,2010-04-24T10:50:16Z,51.51567835,-0.1407494833,115023
1312,2010-04-24T10:29:03Z,51.5156860266,-0.1387252127,66309
1312,2010-04-24T10:28:20Z,51.5158503505,-0.1384236565,49764
1312,2010-04-24T09:49:36Z,51.5152357333,-0.1389556667,969780
1312,2010-03-26T18:03:06Z,51.5144113683,-0.1419210434,23090
1408,2010-10-13T20:00:56Z,51.51480019,-0.1354144463,304896
1408,2010-10-13T18:09:54Z,51.5139005944,-0.1343411207,152500
1408,2010-10-13T15:50:20Z,51.51480019,-0.1354144463,304896
1522,2010-10-06T18:14:23Z,51.515181035,-0.133557855,764239
1522,2010-10-06T17:45:33Z,51.5146564133,-0.1356896029,224008
1522,2010-10-06T12:52:37Z,51.5154262223,-0.1413631439,36486
1522,2010-10-06T12:11:53Z,51.5144113683,-0.1419210434,23090
1560,2010-01-19T23:06:52Z,51.5126817,-0.1388562333,265003
1584,2010-01-23T15:47:27Z,51.5144113683,-0.1419210434,23090
1584,2010-01-23T14:25:23Z,51.5143966675,-0.1391220093,170161
1584,2010-01-16T18:33:36Z,51.5150839224,-0.125358598,395022
1584,2010-01-13T23:25:26Z,51.51353,-0.1385951,89471
1584,2010-01-13T22:51:19Z,51.5138305167,-0.1396182333,377216
1584,2010-01-13T22:32:41Z,51.5144113683,-0.1419210434,23090
1649,2010-08-04T19:17:44Z,51.5129291067,-0.1413094997,335598
1649,2010-08-04T16:21:37Z,51.5144113683,-0.1419210434,23090
1649,2010-08-03T09:52:17Z,51.5144113683,-0.1419210434,23090
1649,2010-05-06T19:45:35Z,51.5144113683,-0.1419210434,23090
1672,2010-08-07T17:10:12Z,51.5134376,-0.12914945,1174701
1726,2010-08-31T19:01:42Z,51.51444936,-0.141907124,1396778
1726,2010-08-31T18:59:13Z,51.5141883787,-0.1420269372,364033
1726,2010-08-31T18:57:02Z,51.5144113683,-0.1419210434,23090
