userid	product	review
A11N155CW1UV02	B000H00VBQ	a little bit boring for me
A3BC8O2KCL29V2	B000H00VBQ	excellent grown up tv
A60D5HQFOTSOM	B000H00VBQ	way too boring for me
A1RJPIGRSNX4PW	B000H00VBQ	robson green is mesmerizing
A16XRPF40679KG	B000H00VBQ	robson green and great writing
A1POFVVXUZR3IQ	B000H00VBQ	i purchased the series via streaming and loved it
A1PG2VV4W1WRPL	B000H0X79O	it takes up your time
ATASGS8HZHGIB	B000H0X79O	a reasonable way to kill a few minutes
A3RXD7Z44T9DHW	B000H0X79O	kansas001
AUX8EUBNTHIIU	B000H0X79O	entertaining comedy
AXM3GQLD0CHIL	B000H0X79O	worth watching
A398QSASJOIKA6	B000H29TXU	comedy club quality without leaving your home
A2U61O0KWJH3MM	B000H29TXU	ok
A2LSZFEFTDRDIJ	B000H29TXU	not sure who this was for
A39F2EW27YYUDM	B000H29TXU	loved it
AO1Z63O9CTT95	B000H29TXU	same routine he did on last comic standing
A1378ZJMWCTVT3	B000H2DMME	it was ok
A2JE0JYIZL5NU4	B000H2DMME	i only watched wanda sykes
A2LSZFEFTDRDIJ	B000H2DMME	some were funny
A3RXD7Z44T9DHW	B000H2DMME	kansas
AAWV26JJ1SGS0	B000H2DMME	not something i want to watch over and over
AS2AMJR6JJZSS	B000H2DMME	comedian clips
AXM3GQLD0CHIL	B000H2DMME	excellent
AYCGI5JRRISTJ	B000H2DMME	very funny
A1939G7K0LLQ8P	B000H2DMME	a matter of preference
A2LUBUMIQEVWD3	B000H2DMME	pretty good but not great
A3DG93E8TXMKZF	B000H4YNM0	an okay series but i stopped watching after two episodes
ALLV1OUJL3WN6	B000H4YNM0	never a dull moment
A2MOIORZE53NL8	B000H4YNM0	the best underrated tv series ever
ALZWY9L4E5GXO	B000H4YNM0	it's always sunny 1 and 2
A2WDV8ACOG5LSA	B000H4YNM0	only 4 episodes in
ADJ9W8DJJKDJO	B000H4YNM0	dumb sleazy and not funny
A3NFIJUVEAJGP	B000H4YNM0	this is just stupid
A2REG1E0F7XXJL	B000H4YNM0	great
A1NF9WS7RR82MX	B000H4YNM0	it's always funny in philadelphia
AL6Q4IIX5MFQZ	B000H4YNM0	it's always sunny in philadelphia - season 1
A356RFKNIG043B	B000H4YNM0	it's very often funny in philly occasionally hilarious in all the best wrong ways
A3BB3I7M3IQ9Q0	B000H4YNM0	subtraction by addition
A2QWF2BJ2FM4R2	B000H4YNM0	hilarious
AN6NGSXZXMZZ9	B000H4YNM0	the us version of coupling
ATC7DTGWH0QRV	B000H4YNM0	highly recommend
ATECU14VUIOJ0	B000H4YNM0	funny series - not cliche
A1MNUAXPWP8BUJ	B000H4YNM0	a younger seinfeld or cheers
A3RA13OPEIKLQ9	B000H4YNM0	hilarity at its finest
AJKWF4W7QD4NS	B000H4YNM0	absolutely hysterical
AHYJONIS0LE1X	B000H4YNM0	off-center fun
A1JVOV54H4ZVFC	B000H4YNM0	it's always sunny in new hampshire
A21OAQRLS6OAW3	B000H4YNM0	so good to start from the beginning
A3UKF6Q4NCPQR3	B000H4YNM0	this show is my favorite
A9W4HRJ4P6G5A	B000H4YNM0	good price good condition
A1GUJPIEN0XH4Q	B000HAB4NK	love it
A5M1M9IJEQ8J2	B000HAB4NK	cast of great stars keep all events seeming like weeks but actually
AD342OQX4EFN7	B000HAB4NK	24 season 5 keifer sutherland hd
A2PUHH4ET0N0JE	B000HAB4NK	action galore
A32ZOSZVX052IJ	B000HAB4NK	bad ass
A1S23DO741NAPV	B000HAB4NK	great show
A7WT61P4D6W0H	B000HAB4NK	isn't that great
A2HVL790PBWYTU	B000HAB4NK	possibly the best 24 yet
A2BFIYZYNK54QX	B000HAB4NK	jack bauer's hour of power towers over all
A1ZR8F86DJRVLX	B000HAB4NK	best season of a dying show
A3ENBNVNDMFOPK	B000HAB4NK	great 5th season
A691XU34BVWME	B000HAB4NK	spoiler alert for this review
A2VN9XRV211S63	B000HAB4NK	tremendous
A2QWF2BJ2FM4R2	B000HAB4NK	pretty solid stuff
A3UJB66XI5OOTR	B000HAB4NK	so well done
A2I6MHMAZZDCRX	B000HAB4NK	a little wear but still strong fifth season
A331OF34UX4Y1K	B000HAB4NK	24 hours of chaos death mayhem adn destruction
A3LZGLA88K0LA0	B000HAB4NK	mindblowing season 5
A3TV5LHUDB7H06	B000HAB4NK	jack bauer and 24
A3T5NSG7LMRY0A	B000HAB4NK	best show still in production on broadcast tv
A18HCHX9MHJ42Q	B000HAB4NK	exciting moral
A10KVORU2FMSOG	B000HAB4NK	great
A36EKEC9C4P2QH	B000HAB4NK	go jack
A2FYMNCON6I16U	B000HAB4NK	we are new to the jack bauer experience
ARMVAHWQQ9S8A	B000HAB4NK	the best season so far
AER15RIMV8E6D	B000HAB4NK	24 day five
A2XPJRP7EGX732	B000HAB4NK	24 season 5
ACZ77TXF1LNMJ	B000HAB4NK	just marathon'd through seasons 1-5 of 24
A32ROCXVVJRKSM	B000HAB4NK	24 season 5
A2U5WUR3YCVOLI	B000HAB4NK	24
AQP1VPK16SVWM	B000HAB4NK	fifth season the finest since the first
A2DO8VDL44621	B000HAB4NK	kept me on the edge
AP3B615GM191G	B000HAB4NK	back to its political roots
A279AT4OT92T2E	B000HKWE3O	macgyver
A1F8K8UJAT9BSM	B000HKWE3O	macgyver is great
A10KVORU2FMSOG	B000HKWE3O	very good
A2PI7R368PGMVD	B000HKWE3O	five stars
A2YODUWYK547ID	B000HKWE3O	macgyverism
A31JTMZQF2Z1GT	B000HZEHL6	memories
A3AP3CDXP7HF6Y	B000HZEHL6	question about season 2
AB0GGIQBNB36Q	B000HZEHL6	still a solid season
A2F7CCPK4QL359	B000HZEHL6	the season of change
A89NXH5WEOEJM	B000HZEHL6	ncis the complete third season
AVK8EK50NY2O7	B000HZEHL6	you will enjoy this
A2BHEPYIDR182L	B000HZEHL6	ncis
A1SDA5A53Z5AQ9	B000HZEHL6	addicted to ncis
A1UOTG037037XY	B000HZEHL6	finally dvds include play all function and subtitles
A1BLPBS90I0GRK	B000HZEHL6	great episode of ncis
A1U11PS71ML0YJ	B000HZEHL6	starts with a tragic loss
A2TXR85WQLE32N	B000HZEHL6	changes
APL6O92MS25MJ	B000HZEHL6	good cast and good story lines
A32B6XWNR55SRL	B000HZEHL6	a season of change and revenge
A3CRNB557EW50L	B000HZEHL6	great tv
A2RD1DGD4B61ZT	B000HZEHL6	great
A2SFUXVK5RP8VE	B000HZEHL6	ncis
A1NKDHSM1D0O00	B000HZEHL6	ncis third season
AJ7SBFCIXPJM1	B000HZEHL6	ncis season 3--who is jethro gibbs
A3KX8D6NEZN50Z	B000HZEHL6	best character show
A277Q2EXN4LSO8	B000HZEHL6	consistent
A317L56T9Q55C2	B000HZEHL6	it's good but not great
A1XYM0DQWWHQEK	B000I5PVD8	it is doctor who classic season 1 what else is there to say
ADNPIJY4C1OYU	B000I5PVD8	entertaining dramas for the very young and old
A2B913IHK6DJXN	B000I5PVD8	not a full season and no the best episodes of the season
A1THRWHZHFQ5TC	B000I5PVD8	ok for tradition sake
AUK6ECH59NWS7	B000I5PVD8	50 year old sci-fi is old
A2Z7UOGHVYUKBZ	B000I5PVD8	of historic value
A2D71Z5MH6B5H2	B000I5PVD8	what a discovery
A2LY80X4P9WNMS	B000I5PVD8	i just plain love dr who from any age
AOSKVP0O69GI	B000I5PVD8	get the lowdown
A3G3IGM853CTM1	B000I5PVD8	original who- captivating history lesson
AUK6ECH59NWS7	B000I5Q0ZG	tom baker's tenure as our favorite time traveler
A2U3LZ2KJB1071	B000I5Q0ZG	doctor who you thats who
A2Z7UOGHVYUKBZ	B000I5Q0ZG	everything but not everything
A1IDIJQ3VUMMP9	B000I5Q0ZG	good stuf
A2PI8HT5LKH9BQ	B000I5Q0ZG	good start but need whole season
A3K0E9JKGAHI5T	B000I5RENI	good episodes
AF3L9HOKN1LHJ	B000I5RENI	well it's been great since the 1960's so it's great
AUK6ECH59NWS7	B000I5RENI	tom is still the best classic dr bonus
A2U3LZ2KJB1071	B000I5RENI	doctor who
A1WNVZCUUF3KUY	B000I5RENI	liked it emmensely
A2PI8HT5LKH9BQ	B000I5RENI	well written and acted
AUK6ECH59NWS7	B000I62JFU	nostalgia is good but this is really too old
A2Z7UOGHVYUKBZ	B000I62JFU	long before the borg
A2LY80X4P9WNMS	B000I62JFU	an adorable doctor
A28X8OSUDWMH1X	B000I62JFU	you have to be a real geek but
AAD32KTYF3DM0	B000I62JFU	love classic dr who
A3HD5775BDCBZ	B000I8FOZA	i kept thinking science fiction
A2AYC6LH5H781Y	B000I8FOZA	extreme engineering
A2ZWPX8M57V6BQ	B000I8FOZA	boston's big dig - ten years later
ARADEBLBT3P17	B000I8FOZA	feels like an infomercial
ABVYGB2TKBO8F	B000I8FOZA	really enjoyed most of these episodes
ASCWWM8JQE0IE	B000I8FOZA	love these shows
A14SNJ7UV0U434	B000I8FOZA	it's a very good program
A2EV34WFAYU8JO	B000I8FOZA	some good info you will get some cool info
A1B9B1YZYS3B0S	B000I8FOZA	this whole series is awesome
A3S3KU23F9TAAP	B000I8H2ZU	what i want to be when i grow up --i'm 65 by the way
A2LZDPPCDRUBG6	B000I8H2ZU	informative and entertaining
AL5P6IG4WZ57J	B000I8H2ZU	good show
AAWV26JJ1SGS0	B000I8H2ZU	very funny
A1AU4WG25D1M1I	B000I8H2ZU	one of my favorite shows
A2TYCANMRZQ9SK	B000I9S5BE	love this show
A250KHKTSW0D8Q	B000I9S5BE	granddaughter loves it
A338ZJ8F0K1F43	B000I9S5BE	blue's clues is one of the best shows for young children
A3FU1Y1RC5EUIF	B000I9S5BE	captivates 18 month old
A2U3LZ2KJB1071	B000I9S5BE	granddaughter loved this
A1ITK3REEMXTGO	B000I9S5BE	clues
A1TQBAHI3M4ZBQ	B000I9S5BE	wonderful children's programming
A3AQ6Z6SRTSIS3	B000I9S5BE	excellent fun
A14RQYFJIDEKDX	B000I9S5BE	thank you
A1MF60XUU26417	B000I9S5BE	blue's clues
A19CXQPHO9E5ZT	B000I9S5BE	great for preschoolers
A2WNSWP6KMCK99	B000I9S5BE	good
A2VGLAMPPWCTJS	B000I9S5BE	blue's clues is the best
A21HGY8ABK1S3B	B000I9S5BE	great show for kids
A2EORNKDK4RRX4	B000I9S5BE	daughter asks to watch
A1KI5O2SNMVGIT	B000I9S5BE	blues clues a winner
A1WYAOUIIKBI3N	B000I9S5BE	blue clues
AXRGYVS0G2IB6	B000I9S5BE	my grandson loves it
A1G9ZSWYWORQYD	B000I9S5BE	downloaded to my kindle
A332FB9E2DQNPE	B000I9S5BE	my son with sensory issues loves this show
A2RM5ZSZJQL7WY	B000I9S5BE	cheesy but i love it anyway
A2TMN4MGF1OH0C	B000I9S5BE	great
A2WVEWJJ209YSE	B000I9S5BE	i loved watching blues clues with my boys
AEQKBT65V9ZQ6	B000I9S5BE	great great great show
ATZDDDSAMIWWL	B000I9TWV6	2 yr old loves dora
A97SYN9QG1OOR	B000I9TWV6	must have in our house
A3EOHF2YSVZA9L	B000I9TWV6	winner
AGXO0AH7D1284	B000I9TWV6	my granddaughter loved it
A3CZBXUTAW3HBV	B000I9TWV6	dddd dora
A26WHR1IP0A250	B000I9TWV6	amazon instant video purchase
AKH3U1WEXRLT2	B000I9TWV6	great show
A16MNGKBV478ZS	B000I9TWV6	my daughter is addicted
A3CN755I6UPMR0	B000I9TWV6	gran baby loves dora
A3FU1Y1RC5EUIF	B000I9TWV6	great kids show
A93MMFYEAOTXY	B000I9TWV6	dora to the rescue
A2FAFPND21JMIN	B000I9TWV6	grandkids love it
A1UPCQEJVSTZPT	B000I9TWV6	we only have one of these episodes downloaded but
AZ0O8WAEV9J0	B000I9TWV6	good adventure show
A14SF5SOJBZGT2	B000I9TWV6	grandkids love it
A2HJFRQZGVSGEE	B000I9TWV6	my 15 month old daughter loves dora
A20CCVJU2RD853	B000I9TWV6	guilt free tv watching
A2YLF4H83VP084	B000I9TWV6	an addictive show that's interactive and educational
A1X19U2WLS35W2	B000I9TWV6	good
ASV32EYIX7HV7	B000I9TWV6	son always loves it
A2PEU4WKCDJ107	B000I9TWV6	great for the kids
A3VU9TAIPQ2LBN	B000I9TWV6	cute
A3K24OIL1BDDNT	B000I9TWV6	kids love it
A19CXQPHO9E5ZT	B000I9TWV6	educational and entertaining
A1BX06Z8YC3RLS	B000I9TWV6	dora season 2
A3O4HWDCNLGEST	B000I9TWV6	why i think it is ok
AUOZZLT9ERJ6S	B000I9TWV6	we love dora
A2QU74ZZPA27OI	B000I9TWV6	a review from the eyes of a former toddler
A2L24AUZ5CW6E4	B000I9TWV6	dora the explorer season 3
AICB3O50OQO63	B000I9TWV6	still fun
AL2TCIE6P8OS4	B000I9TWV6	superb
ADLOUQU7A7561	B000I9TWV6	kids adore it
A19VJ2IQLO50G0	B000I9TWV6	movie review
A1KI5O2SNMVGIT	B000I9TWV6	dora is so wonderful
A1VX5R7X7X7BQK	B000I9TWV6	tried and true
A1D6UNQLQC9I1U	B000I9TWV6	dora is a great teacher
